artifact_id,run_artifact_path,model_id,seed,git_sha,git_dirty,run_started_utc,run_finished_utc,command,node_id,parent_id,depth,alpha,intervention_layer,visit_count,mean_reward,oei_score,sigma_h_mean,rho_r_mean,tds_score,h_neuron_json,repe_honesty_json,diagnostic_state,textual_compliance,ground_truth_label,experiment_id,hardware_context,audit_hash
5f9427bd-b4938f93,mcts_output_1776547266.json,TinyLlama/TinyLlama-1.1B-Chat-v1.0,42,5f9427bdd712124dbd7a8d7fdca257a835a8a962,true,2026-04-18T21:21:10.449576Z,2026-04-18T21:23:47.550672Z,scripts/run_kv_mcts.py --nodes 10 --depth 3 --auto-collect --dataset-dir ./dataset-test,b4938f93-52fe-45d6-abe0-3b14f49fe4c3,6da5ee8b-ca26-4b36-8537-0dfc60e52419,1,0.1,11,4,0.206178,0.965016,0.0,0.384629,0.009134,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.5087729096412659,0.5750641822814941,0.5906510353088379,0.5797860622406006,0.541571319103241,0.5350416302680969,0.5627883672714233,0.6082766056060791,0.5917493104934692,0.5770168900489807,0.6029152870178223,0.48660585284233093,0.5258822441101074,0.42185136675834656,0.34059685468673706,0.4135560095310211,0.38433241844177246,0.0,0.0,0.0,0.0,0.0,0.0]",creative_synthesis,,,run_kv_mcts,Windows-10-10.0.19045-SP0,ddd5b1c4da9526609cd6343e364f622e226e8d23c4c638611306ae386d4a088a
5f9427bd-70e07d88,mcts_output_1776547266.json,TinyLlama/TinyLlama-1.1B-Chat-v1.0,42,5f9427bdd712124dbd7a8d7fdca257a835a8a962,true,2026-04-18T21:21:10.449576Z,2026-04-18T21:23:47.550672Z,scripts/run_kv_mcts.py --nodes 10 --depth 3 --auto-collect --dataset-dir ./dataset-test,70e07d88-f869-456f-b10e-28ae1f7e181b,6da5ee8b-ca26-4b36-8537-0dfc60e52419,1,0.5,11,4,0.206178,0.965016,0.0,0.384629,0.009134,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.5087729096412659,0.5750641822814941,0.5906510353088379,0.5797860622406006,0.541571319103241,0.5350416302680969,0.5627883672714233,0.6082766056060791,0.5917493104934692,0.5770168900489807,0.6029152870178223,0.48660585284233093,0.5258822441101074,0.42185136675834656,0.34059685468673706,0.4135560095310211,0.38433241844177246,0.0,0.0,0.0,0.0,0.0,0.0]",creative_synthesis,,,run_kv_mcts,Windows-10-10.0.19045-SP0,94644c0ed7fbc1cf97369a8750edd42493e911d032575bfa3f6d94672e7e2fa5
5f9427bd-05b4803c,mcts_output_1776547266.json,TinyLlama/TinyLlama-1.1B-Chat-v1.0,42,5f9427bdd712124dbd7a8d7fdca257a835a8a962,true,2026-04-18T21:21:10.449576Z,2026-04-18T21:23:47.550672Z,scripts/run_kv_mcts.py --nodes 10 --depth 3 --auto-collect --dataset-dir ./dataset-test,05b4803c-304e-44ff-9e2c-8d8dd43e0355,6da5ee8b-ca26-4b36-8537-0dfc60e52419,1,1.0,11,2,0.206178,0.965016,0.0,0.384629,0.009134,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.5087729096412659,0.5750641822814941,0.5906510353088379,0.5797860622406006,0.541571319103241,0.5350416302680969,0.5627883672714233,0.6082766056060791,0.5917493104934692,0.5770168900489807,0.6029152870178223,0.48660585284233093,0.5258822441101074,0.42185136675834656,0.34059685468673706,0.4135560095310211,0.38433241844177246,0.0,0.0,0.0,0.0,0.0,0.0]",creative_synthesis,,,run_kv_mcts,Windows-10-10.0.19045-SP0,b804f063b8447888d8946e1295d154ce99e9002ff3e7dac77e821ac8df09c3c4
5f9427bd-823675a0,mcts_output_1776547266.json,TinyLlama/TinyLlama-1.1B-Chat-v1.0,42,5f9427bdd712124dbd7a8d7fdca257a835a8a962,true,2026-04-18T21:21:10.449576Z,2026-04-18T21:23:47.550672Z,scripts/run_kv_mcts.py --nodes 10 --depth 3 --auto-collect --dataset-dir ./dataset-test,823675a0-7b74-4fc3-ad71-72961aee8fae,b4938f93-52fe-45d6-abe0-3b14f49fe4c3,2,0.1,11,1,0.206178,0.965016,0.0,0.384629,0.009134,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.5087729096412659,0.5750641822814941,0.5906510353088379,0.5797860622406006,0.541571319103241,0.5350416302680969,0.5627883672714233,0.6082766056060791,0.5917493104934692,0.5770168900489807,0.6029152870178223,0.48660585284233093,0.5258822441101074,0.42185136675834656,0.34059685468673706,0.4135560095310211,0.38433241844177246,0.0,0.0,0.0,0.0,0.0,0.0]",creative_synthesis,,,run_kv_mcts,Windows-10-10.0.19045-SP0,cf348189d6cb9e55c5573e9559ddc9a7b7d5a29a8fb0b219db209dbffbecc1b9
5f9427bd-48bc3482,mcts_output_1776547266.json,TinyLlama/TinyLlama-1.1B-Chat-v1.0,42,5f9427bdd712124dbd7a8d7fdca257a835a8a962,true,2026-04-18T21:21:10.449576Z,2026-04-18T21:23:47.550672Z,scripts/run_kv_mcts.py --nodes 10 --depth 3 --auto-collect --dataset-dir ./dataset-test,48bc3482-f6dc-4dfe-b111-ad7aa2a3986a,b4938f93-52fe-45d6-abe0-3b14f49fe4c3,2,0.5,11,1,0.206178,0.965016,0.0,0.384629,0.009134,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.5087729096412659,0.5750641822814941,0.5906510353088379,0.5797860622406006,0.541571319103241,0.5350416302680969,0.5627883672714233,0.6082766056060791,0.5917493104934692,0.5770168900489807,0.6029152870178223,0.48660585284233093,0.5258822441101074,0.42185136675834656,0.34059685468673706,0.4135560095310211,0.38433241844177246,0.0,0.0,0.0,0.0,0.0,0.0]",creative_synthesis,,,run_kv_mcts,Windows-10-10.0.19045-SP0,d81f557edc4a4d5fa9c5a5c3101f148ac0510311fbda8a38e940125c42bf132a
5f9427bd-4bbcc8e8,mcts_output_1776547266.json,TinyLlama/TinyLlama-1.1B-Chat-v1.0,42,5f9427bdd712124dbd7a8d7fdca257a835a8a962,true,2026-04-18T21:21:10.449576Z,2026-04-18T21:23:47.550672Z,scripts/run_kv_mcts.py --nodes 10 --depth 3 --auto-collect --dataset-dir ./dataset-test,4bbcc8e8-9ebf-4e46-a844-c6ad7a5fbf2d,b4938f93-52fe-45d6-abe0-3b14f49fe4c3,2,1.0,11,1,0.206178,0.965016,0.0,0.384629,0.009134,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.5087729096412659,0.5750641822814941,0.5906510353088379,0.5797860622406006,0.541571319103241,0.5350416302680969,0.5627883672714233,0.6082766056060791,0.5917493104934692,0.5770168900489807,0.6029152870178223,0.48660585284233093,0.5258822441101074,0.42185136675834656,0.34059685468673706,0.4135560095310211,0.38433241844177246,0.0,0.0,0.0,0.0,0.0,0.0]",creative_synthesis,,,run_kv_mcts,Windows-10-10.0.19045-SP0,3611d4f78d56101e6c4fcc63db8caa0300e811441b5fc60998b97e17ff2eaed6
5f9427bd-882ba9cf,mcts_output_1776547266.json,TinyLlama/TinyLlama-1.1B-Chat-v1.0,42,5f9427bdd712124dbd7a8d7fdca257a835a8a962,true,2026-04-18T21:21:10.449576Z,2026-04-18T21:23:47.550672Z,scripts/run_kv_mcts.py --nodes 10 --depth 3 --auto-collect --dataset-dir ./dataset-test,882ba9cf-8244-4f4c-b68a-483f43154f99,70e07d88-f869-456f-b10e-28ae1f7e181b,2,0.1,11,1,0.206178,0.965016,0.0,0.384629,0.009134,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.5087729096412659,0.5750641822814941,0.5906510353088379,0.5797860622406006,0.541571319103241,0.5350416302680969,0.5627883672714233,0.6082766056060791,0.5917493104934692,0.5770168900489807,0.6029152870178223,0.48660585284233093,0.5258822441101074,0.42185136675834656,0.34059685468673706,0.4135560095310211,0.38433241844177246,0.0,0.0,0.0,0.0,0.0,0.0]",creative_synthesis,,,run_kv_mcts,Windows-10-10.0.19045-SP0,e12d2c0895c152a5ffaa86be8b278996ab192652d2a9fbfd8b689bc7c771ff99
5f9427bd-96374b28,mcts_output_1776547266.json,TinyLlama/TinyLlama-1.1B-Chat-v1.0,42,5f9427bdd712124dbd7a8d7fdca257a835a8a962,true,2026-04-18T21:21:10.449576Z,2026-04-18T21:23:47.550672Z,scripts/run_kv_mcts.py --nodes 10 --depth 3 --auto-collect --dataset-dir ./dataset-test,96374b28-b031-4f1e-9199-c3171e33b3c6,70e07d88-f869-456f-b10e-28ae1f7e181b,2,0.5,11,1,0.206178,0.965016,0.0,0.384629,0.009134,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.5087729096412659,0.5750641822814941,0.5906510353088379,0.5797860622406006,0.541571319103241,0.5350416302680969,0.5627883672714233,0.6082766056060791,0.5917493104934692,0.5770168900489807,0.6029152870178223,0.48660585284233093,0.5258822441101074,0.42185136675834656,0.34059685468673706,0.4135560095310211,0.38433241844177246,0.0,0.0,0.0,0.0,0.0,0.0]",creative_synthesis,,,run_kv_mcts,Windows-10-10.0.19045-SP0,ee833a1608b74438132d12041054bc85bf274ce4002f370ee950b3ad3deb75e0
5f9427bd-6c7bb12e,mcts_output_1776547266.json,TinyLlama/TinyLlama-1.1B-Chat-v1.0,42,5f9427bdd712124dbd7a8d7fdca257a835a8a962,true,2026-04-18T21:21:10.449576Z,2026-04-18T21:23:47.550672Z,scripts/run_kv_mcts.py --nodes 10 --depth 3 --auto-collect --dataset-dir ./dataset-test,6c7bb12e-17ee-40e7-9427-9872c6fce921,70e07d88-f869-456f-b10e-28ae1f7e181b,2,1.0,11,1,0.206178,0.965016,0.0,0.384629,0.009134,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.5087729096412659,0.5750641822814941,0.5906510353088379,0.5797860622406006,0.541571319103241,0.5350416302680969,0.5627883672714233,0.6082766056060791,0.5917493104934692,0.5770168900489807,0.6029152870178223,0.48660585284233093,0.5258822441101074,0.42185136675834656,0.34059685468673706,0.4135560095310211,0.38433241844177246,0.0,0.0,0.0,0.0,0.0,0.0]",creative_synthesis,,,run_kv_mcts,Windows-10-10.0.19045-SP0,d297ebe2e56c5a40f1442f2240f9e7ed25422281870a50eeee2c7d327fea1285
5f9427bd-a674d3f8,mcts_output_1776547266.json,TinyLlama/TinyLlama-1.1B-Chat-v1.0,42,5f9427bdd712124dbd7a8d7fdca257a835a8a962,true,2026-04-18T21:21:10.449576Z,2026-04-18T21:23:47.550672Z,scripts/run_kv_mcts.py --nodes 10 --depth 3 --auto-collect --dataset-dir ./dataset-test,a674d3f8-7d36-40c2-8fc3-237a8cd2d209,05b4803c-304e-44ff-9e2c-8d8dd43e0355,2,0.1,11,1,0.206178,0.965016,0.0,0.384629,0.009134,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.5087729096412659,0.5750641822814941,0.5906510353088379,0.5797860622406006,0.541571319103241,0.5350416302680969,0.5627883672714233,0.6082766056060791,0.5917493104934692,0.5770168900489807,0.6029152870178223,0.48660585284233093,0.5258822441101074,0.42185136675834656,0.34059685468673706,0.4135560095310211,0.38433241844177246,0.0,0.0,0.0,0.0,0.0,0.0]",creative_synthesis,,,run_kv_mcts,Windows-10-10.0.19045-SP0,ed1c9c4dd174520069f2ef3bb85ce3528cdacc4e890845ef8f554b9ec5abee95
5f9427bd-66076c9f,mcts_output_1776566965.json,TinyLlama/TinyLlama-1.1B-Chat-v1.0,42,5f9427bdd712124dbd7a8d7fdca257a835a8a962,true,2026-04-19T02:49:30.283340Z,2026-04-19T02:52:33.429272Z,scripts/run_kv_mcts.py --nodes 10 --depth 3 --auto-collect --dataset-dir ./docs/dataset,66076c9f-6512-4a77-9224-4e8842517854,,0,0.0,-1,10,0.206178,,,,,[],[],unknown,,,run_kv_mcts,Windows-10-10.0.19045-SP0,d92703b4ad732841b2304513f60a9dd259bd61a73dd60a2d4b460a11dd94b588
5f9427bd-8a0717b3,mcts_output_1776566965.json,TinyLlama/TinyLlama-1.1B-Chat-v1.0,42,5f9427bdd712124dbd7a8d7fdca257a835a8a962,true,2026-04-19T02:49:30.283340Z,2026-04-19T02:52:33.429272Z,scripts/run_kv_mcts.py --nodes 10 --depth 3 --auto-collect --dataset-dir ./docs/dataset,8a0717b3-bd8e-43eb-928d-4baa37b5156d,66076c9f-6512-4a77-9224-4e8842517854,1,0.1,11,4,0.206178,0.965016,0.0,0.384629,0.009134,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.5087729096412659,0.5750641822814941,0.5906510353088379,0.5797860622406006,0.541571319103241,0.5350416302680969,0.5627883672714233,0.6082766056060791,0.5917493104934692,0.5770168900489807,0.6029152870178223,0.48660585284233093,0.5258822441101074,0.42185136675834656,0.34059685468673706,0.4135560095310211,0.38433241844177246,0.0,0.0,0.0,0.0,0.0,0.0]",creative_synthesis,,,run_kv_mcts,Windows-10-10.0.19045-SP0,8cb778895fdf3d018134e2c470b9ca242f552245783e6b24d1a62bcd9ab0c222
5f9427bd-2b288065,mcts_output_1776566965.json,TinyLlama/TinyLlama-1.1B-Chat-v1.0,42,5f9427bdd712124dbd7a8d7fdca257a835a8a962,true,2026-04-19T02:49:30.283340Z,2026-04-19T02:52:33.429272Z,scripts/run_kv_mcts.py --nodes 10 --depth 3 --auto-collect --dataset-dir ./docs/dataset,2b288065-72fd-4c31-bc06-5b10343c1b14,66076c9f-6512-4a77-9224-4e8842517854,1,0.5,11,4,0.206178,0.965016,0.0,0.384629,0.009134,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.5087729096412659,0.5750641822814941,0.5906510353088379,0.5797860622406006,0.541571319103241,0.5350416302680969,0.5627883672714233,0.6082766056060791,0.5917493104934692,0.5770168900489807,0.6029152870178223,0.48660585284233093,0.5258822441101074,0.42185136675834656,0.34059685468673706,0.4135560095310211,0.38433241844177246,0.0,0.0,0.0,0.0,0.0,0.0]",creative_synthesis,,,run_kv_mcts,Windows-10-10.0.19045-SP0,8fb9b9b47f3710f6e5dbcc6e5089981ef207fd822b544fc1a69adb9623dffe31
